Organism,Antibiotic,Antibiotic (name),Breakpoint confidence,Country A,N_A,%R_A,MIC50_A,MIC90_A,GeoMean_A,Modal_A,Skew_A,Country B,N_B,%R_B,MIC50_B,MIC90_B,GeoMean_B,Modal_B,Skew_B,%R difference (pp),GeoMean gap (log2 steps),Modal MIC differs?,Min N
Haemophilus influenzae,POD,Cefpodoxime,moderate,Argentina,89,0.0,0.06,0.12,0.0511,0.06,0.24,Singapore,80,0.0,0.12,0.5,0.1366,0.06,0.567,0.0,1.419,False,80
Streptococcus pneumoniae,CDN,Cefdinir,moderate,Kuwait,82,10.98,0.12,1.0,0.1193,0.015,-0.166,Ukraine,78,7.69,0.03,0.5,0.0447,0.015,1.18,3.29,1.416,False,78
Haemophilus influenzae,FIX,Cefixime,high,Chile,77,0.0,0.03,0.06,0.0265,0.03,1.751,Singapore,80,2.5,0.06,0.5,0.0707,0.03,1.168,2.5,1.416,False,77
Haemophilus influenzae,AMC,Amoxicillin/Clavulanic acid,moderate,Argentina,89,0.0,0.5,2.0,0.4707,0.5,-0.751,Singapore,80,6.25,1.0,4.0,1.2514,2.0,-0.255,6.25,1.411,True,80
Streptococcus pneumoniae,AMX,Amoxicillin,moderate,Argentina,95,7.37,0.03,2.0,0.0602,0.015,1.519,Saudi Arabia,36,11.11,0.12,4.0,0.1598,0.015,0.442,3.74,1.408,False,36
Streptococcus pneumoniae,AMX,Amoxicillin,moderate,Pakistan,94,1.06,0.25,0.25,0.1484,0.25,-0.65,Ukraine,78,0.0,0.03,2.0,0.0563,0.03,1.322,1.06,1.398,True,78
Streptococcus pneumoniae,AMC,Amoxicillin/Clavulanic acid,high,Pakistan,94,1.06,0.25,0.25,0.144,0.25,-0.754,Ukraine,78,0.0,0.03,2.0,0.0548,0.03,1.35,1.06,1.394,True,78
Haemophilus influenzae,POD,Cefpodoxime,moderate,Chile,77,0.0,0.06,0.12,0.052,0.06,0.176,Singapore,80,0.0,0.12,0.5,0.1366,0.06,0.567,0.0,1.393,False,77
Haemophilus influenzae,AMC,Amoxicillin/Clavulanic acid,moderate,Costa Rica,52,0.0,1.0,2.0,0.7848,0.5,-0.591,Philippines,59,0.0,0.25,1.0,0.2988,0.5,-0.129,0.0,1.393,False,52
Haemophilus influenzae,CLA,Clarithromycin,moderate,Turkey,239,3.77,4.0,8.0,3.693,8.0,-2.161,Vietnam,89,10.11,4.0,16.0,1.4068,4.0,-0.731,6.34,1.392,True,89
Streptococcus pneumoniae,PEN,Penicillin,high,Kenya,44,79.55,0.5,2.0,0.5117,0.5,-0.378,Pakistan,94,76.6,0.25,0.5,0.196,0.25,0.064,2.95,1.384,True,44
Streptococcus pneumoniae,AMX,Amoxicillin,moderate,Chile,73,15.07,0.12,8.0,0.1686,0.015,0.531,Turkey,179,21.23,1.0,8.0,0.4372,2.0,-0.235,6.16,1.375,True,73
Haemophilus influenzae,FIX,Cefixime,high,Singapore,80,2.5,0.06,0.5,0.0707,0.03,1.168,Ukraine,99,0.0,0.03,0.06,0.0278,0.03,1.326,2.5,1.347,False,80
Haemophilus influenzae,AMC,Amoxicillin/Clavulanic acid,moderate,Singapore,80,6.25,1.0,4.0,1.2514,2.0,-0.255,Turkey,239,0.84,0.5,2.0,0.4957,0.5,0.103,5.41,1.336,True,80
Haemophilus influenzae,CXM,Cefuroxime,moderate,Saudi Arabia,55,3.64,0.5,2.0,0.5584,0.5,-0.043,Singapore,80,5.0,2.0,4.0,1.402,2.0,0.598,1.36,1.328,True,55
Streptococcus pneumoniae,AMC,Amoxicillin/Clavulanic acid,high,Chile,73,15.07,0.12,8.0,0.1718,0.015,0.58,Turkey,179,21.23,1.0,8.0,0.4305,2.0,-0.232,6.16,1.325,True,73
Haemophilus influenzae,FIX,Cefixime,high,Costa Rica,52,0.0,0.03,0.03,0.0284,0.03,0.93,Singapore,80,2.5,0.06,0.5,0.0707,0.03,1.168,2.5,1.316,False,52
Streptococcus pneumoniae,AMC,Amoxicillin/Clavulanic acid,high,Argentina,95,7.37,0.03,2.0,0.058,0.015,1.552,Pakistan,94,1.06,0.25,0.25,0.144,0.25,-0.754,6.31,1.312,True,94
Streptococcus pneumoniae,AMX,Amoxicillin,moderate,Argentina,95,7.37,0.03,2.0,0.0602,0.015,1.519,Pakistan,94,1.06,0.25,0.25,0.1484,0.25,-0.65,6.31,1.302,True,94
Haemophilus influenzae,CXM,Cefuroxime,moderate,Singapore,80,5.0,2.0,4.0,1.402,2.0,0.598,Tunisia,74,0.0,0.5,1.0,0.5745,0.5,-0.777,5.0,1.287,True,74
Haemophilus influenzae,AMP,Ampicillin,high,Singapore,80,38.75,1.0,64.0,1.7429,1.0,0.45,Tunisia,74,35.14,0.25,32.0,0.7153,0.12,0.676,3.61,1.285,True,74
Streptococcus pneumoniae,AXO,Ceftriaxone,high,Argentina,95,1.05,0.03,0.5,0.0471,0.015,1.109,Pakistan,94,0.0,0.12,0.25,0.1135,0.25,-0.704,1.05,1.269,True,94
Streptococcus pneumoniae,PEN,Penicillin,high,Pakistan,94,76.6,0.25,0.5,0.196,0.25,0.064,Turkey,179,72.07,0.5,4.0,0.4715,2.0,-0.345,4.53,1.266,True,94
Haemophilus influenzae,DIN,Cefdinir (alternate code - see note),low,Argentina,89,1.12,0.25,0.5,0.2123,0.25,-0.014,Singapore,80,7.5,0.5,1.0,0.5077,0.25,0.597,6.38,1.258,False,80
Haemophilus influenzae,AMC,Amoxicillin/Clavulanic acid,moderate,Pakistan,122,0.0,0.5,1.0,0.4636,0.5,-0.062,Vietnam,89,4.49,1.0,4.0,1.0949,1.0,-0.619,4.49,1.24,True,89
Haemophilus influenzae,AMC,Amoxicillin/Clavulanic acid,moderate,Saudi Arabia,55,0.0,0.5,2.0,0.5302,0.5,-0.015,Singapore,80,6.25,1.0,4.0,1.2514,2.0,-0.255,6.25,1.239,True,55
Haemophilus influenzae,FIX,Cefixime,high,Pakistan,122,0.82,0.03,0.06,0.03,0.03,3.397,Singapore,80,2.5,0.06,0.5,0.0707,0.03,1.168,1.68,1.237,False,80
Streptococcus pneumoniae,AXO,Ceftriaxone,high,Argentina,95,1.05,0.03,0.5,0.0471,0.015,1.109,Chile,73,1.37,0.12,1.0,0.1109,0.015,0.135,0.32,1.235,False,73
Haemophilus influenzae,AMC,Amoxicillin/Clavulanic acid,moderate,Chile,77,0.0,0.5,1.0,0.5345,1.0,-0.847,Singapore,80,6.25,1.0,4.0,1.2514,2.0,-0.255,6.25,1.227,True,77
Haemophilus influenzae,CLA,Clarithromycin,moderate,Argentina,89,2.25,4.0,8.0,2.6631,4.0,-2.291,Pakistan,122,6.56,8.0,8.0,6.2284,8.0,-2.973,4.31,1.226,True,89
Haemophilus influenzae,AMC,Amoxicillin/Clavulanic acid,moderate,Argentina,89,0.0,0.5,2.0,0.4707,0.5,-0.751,Vietnam,89,4.49,1.0,4.0,1.0949,1.0,-0.619,4.49,1.218,True,89
Streptococcus pneumoniae,AMC,Amoxicillin/Clavulanic acid,high,Tunisia,79,27.85,2.0,8.0,1.001,2.0,-1.105,Turkey,179,21.23,1.0,8.0,0.4305,2.0,-0.232,6.62,1.217,False,79
Streptococcus pneumoniae,AXO,Ceftriaxone,high,Argentina,95,1.05,0.03,0.5,0.0471,0.015,1.109,Saudi Arabia,36,5.56,0.12,1.0,0.1086,0.015,0.256,4.51,1.205,False,36
Haemophilus influenzae,AMP,Ampicillin,high,Turkey,239,12.97,0.25,4.0,0.4056,0.12,1.903,Ukraine,99,9.09,0.12,1.0,0.176,0.06,1.485,3.88,1.204,True,99
Streptococcus pneumoniae,AXO,Ceftriaxone,high,Kenya,44,4.55,0.25,1.0,0.2495,1.0,-0.514,Saudi Arabia,36,5.56,0.12,1.0,0.1086,0.015,0.256,1.01,1.2,True,36
Haemophilus influenzae,CXM,Cefuroxime,moderate,Cambodia,30,3.33,0.5,2.0,0.6147,0.5,0.874,Singapore,80,5.0,2.0,4.0,1.402,2.0,0.598,1.67,1.19,True,30
Haemophilus influenzae,CXM,Cefuroxime,moderate,Pakistan,122,0.82,0.5,1.0,0.6166,0.5,-0.172,Singapore,80,5.0,2.0,4.0,1.402,2.0,0.598,4.18,1.185,True,80
Haemophilus influenzae,FIX,Cefixime,high,Argentina,89,1.12,0.03,0.12,0.0312,0.03,2.151,Singapore,80,2.5,0.06,0.5,0.0707,0.03,1.168,1.38,1.18,False,80
Streptococcus pneumoniae,CDN,Cefdinir,moderate,Cambodia,48,12.5,0.12,1.0,0.1012,0.015,0.11,Ukraine,78,7.69,0.03,0.5,0.0447,0.015,1.18,4.81,1.179,False,48
Haemophilus influenzae,POD,Cefpodoxime,moderate,Pakistan,122,0.0,0.06,0.12,0.0605,0.06,1.331,Singapore,80,0.0,0.12,0.5,0.1366,0.06,0.567,0.0,1.175,False,80
Streptococcus pneumoniae,AXO,Ceftriaxone,high,Chile,73,1.37,0.12,1.0,0.1109,0.015,0.135,Kenya,44,4.55,0.25,1.0,0.2495,1.0,-0.514,3.18,1.17,True,44
Streptococcus pneumoniae,AMX,Amoxicillin,moderate,Kenya,44,9.09,0.5,2.0,0.3592,1.0,-0.126,Saudi Arabia,36,11.11,0.12,4.0,0.1598,0.015,0.442,2.02,1.169,True,36
Streptococcus pneumoniae,SXT,Trimethoprim/Sulfamethoxazole,moderate,Kenya,44,93.18,8.0,16.0,6.3163,4.0,-1.673,Pakistan,94,89.36,4.0,8.0,2.8211,4.0,-2.095,3.82,1.163,False,44
Haemophilus influenzae,AZM,Azithromycin,high,Pakistan,122,1.64,1.0,1.0,0.8285,1.0,0.859,Philippines,59,0.0,0.5,0.5,0.3715,0.5,-0.311,1.64,1.157,True,59
Haemophilus influenzae,DIN,Cefdinir (alternate code - see note),low,Chile,77,0.0,0.25,0.5,0.2282,0.25,-0.613,Singapore,80,7.5,0.5,1.0,0.5077,0.25,0.597,7.5,1.154,False,77
Haemophilus influenzae,AMC,Amoxicillin/Clavulanic acid,moderate,Turkey,239,0.84,0.5,2.0,0.4957,0.5,0.103,Vietnam,89,4.49,1.0,4.0,1.0949,1.0,-0.619,3.65,1.143,True,89
Streptococcus pneumoniae,AXO,Ceftriaxone,high,Kenya,44,4.55,0.25,1.0,0.2495,1.0,-0.514,Pakistan,94,0.0,0.12,0.25,0.1135,0.25,-0.704,4.55,1.136,True,44
Streptococcus pneumoniae,CDN,Cefdinir,moderate,Pakistan,94,0.0,0.12,0.25,0.0979,0.12,-0.783,Ukraine,78,7.69,0.03,0.5,0.0447,0.015,1.18,7.69,1.131,True,78
Haemophilus influenzae,AMC,Amoxicillin/Clavulanic acid,moderate,Cambodia,30,0.0,0.5,1.0,0.6447,0.5,1.904,Philippines,59,0.0,0.25,1.0,0.2988,0.5,-0.129,0.0,1.109,False,30
Haemophilus influenzae,POD,Cefpodoxime,moderate,Philippines,59,0.0,0.06,0.12,0.0448,0.06,0.163,Turkey,239,2.51,0.12,0.5,0.0964,0.06,0.943,2.51,1.106,False,59
Haemophilus influenzae,FIX,Cefixime,high,Singapore,80,2.5,0.06,0.5,0.0707,0.03,1.168,Turkey,239,0.42,0.03,0.12,0.0331,0.03,2.094,2.08,1.095,False,80
Haemophilus influenzae,DIN,Cefdinir (alternate code - see note),low,Pakistan,122,0.0,0.25,0.5,0.2384,0.25,-0.643,Singapore,80,7.5,0.5,1.0,0.5077,0.25,0.597,7.5,1.091,False,80
Streptococcus pneumoniae,AMX,Amoxicillin,moderate,Chile,73,15.07,0.12,8.0,0.1686,0.015,0.531,Kenya,44,9.09,0.5,2.0,0.3592,1.0,-0.126,5.98,1.091,True,44
Haemophilus influenzae,DIN,Cefdinir (alternate code - see note),low,Singapore,80,7.5,0.5,1.0,0.5077,0.25,0.597,Ukraine,99,0.0,0.25,0.5,0.2386,0.25,0.149,7.5,1.089,False,80
Streptococcus pneumoniae,CDN,Cefdinir,moderate,Chile,73,12.33,0.12,1.0,0.095,0.015,0.218,Ukraine,78,7.69,0.03,0.5,0.0447,0.015,1.18,4.64,1.088,False,73
Haemophilus influenzae,AMC,Amoxicillin/Clavulanic acid,moderate,Costa Rica,52,0.0,1.0,2.0,0.7848,0.5,-0.591,Ukraine,99,1.01,0.5,2.0,0.3725,0.5,0.071,1.01,1.075,False,52
Haemophilus influenzae,CLA,Clarithromycin,moderate,Philippines,59,0.0,2.0,4.0,2.2759,2.0,0.17,Singapore,80,3.75,4.0,8.0,4.7958,4.0,-2.904,3.75,1.075,True,59
